cartodb_id,год,,ВВП на душу населения,Глубина воронки отсталости,Доля инновационно активных организаций,Доля инновационных продуктов,Доходы регионального бюджета,Инвестиции в основной капитал на душу населения,Расходы регионального бюджета,Сальдированный финансовый результат деятельности предприятий,Сальдо регионального бюджета,Скорость затягивания в воронку отсталости,Соответствующий год эталона,Уровень занятости населени,Уровень цифровизации
75,2022,Республика Хакасия,"673750,3",2,"4,3","0,1","65147,6",90661,59830,61272,"5,317.60",-1,2020,"58,5","32,71"
40,2022,Ростовская область,"572346,2",4,"26,4","10,3","343082,6",111406,"353771,2",126076,"-10,688.60",-1,2018,59,"64,39"
74,2022,Рязанская область,"568120,5",4,"10,2","4,9","108577,7",85391,"105349,7",63716,"3,228.00",0,2018,"54,9","36,3"
31,2022,Самарская область,"888563,3",-2,"17,9","9,5","339418,1",141650,"358421,8",112919,"-19,003.70",-3,2024,"61,6","61,62"
41,2022,Саратовская область,"503036,4",5,"7,9","1,3","189226,9",85911,"189284,1",62828,"-57,2",-2,2017,"56,9","35,73"
11,2022,Сахалинская область,3150063,-2,"4,8","0,1","282990,6",581248,"224932,2",391735,"58,058.40",1,2024,"66,6","53,13"
72,2022,Свердловская область,"863685,9",-2,"11,8","6,6","450919,5",127407,"448529,8",256370,"2,389.70",-2,2024,"57,8","55,43"
58,2022,Смоленская область,"539316,7",5,"6,4","4,3","79290,5",73758,"71636,9",44247,"7,653.60",-1,2017,"59,2","9,09"
15,2022,Ставропольский край,"446689,8",7,"6,8",11,"210747,9",98884,"196469,4",137730,"14,278.50",-1,2015,"57,5","55,71"
73,2022,Тамбовская область,"502310,2",5,"8,5","6,2","80238,8",87367,79733,70244,"505,8",-1,2017,57,"45,95"
54,2022,Тверская область,"517779,3",5,"10,3","6,2","123753,2",72914,"116362,8",34193,"7,390.40",-1,2017,"58,4","32,31"
18,2022,Томская область,"847838,3",-2,"15,2","2,4","109970,3",113262,107587,60134,"2,383.30",-4,2024,"57,7","44,92"
65,2022,Тульская область,"741499,5",0,"14,5","10,9","143892,6",142581,"146104,1",178520,"-2,211.50",-3,2022,"61,2","66,99"
20,2022,Тюменская область,4634586,-2,"7,3","0,8","267981,9",807881,"320970,3",2988334,"-52,988.40",1,2024,"64,1","68,1"
59,2022,Удмуртская Республика,"699455,7",1,"13,4","8,8","121358,1",94773,"121423,3",75396,"-65,2",-2,2021,"59,5","45,69"
63,2022,Ульяновская область,"472982,5",6,"14,1","9,4","100612,9",88626,104686,8920,"-4,073.10",-1,2016,"57,4","40,51"
79,2022,Хабаровский край,880400,-2,"7,7","10,4",186719,205471,"183710,7",43828,"3,008.30",-1,2024,"64,7","60,03"
71,2022,Ханты-Мансийский автономный округ,5593737,-2,6,"0,4",367971,771973,"381979,5",449102,"-14,008.50",1,2024,"67,5","70,64"
600,2022,Херсонская область,0,,,,,,,,,,,,
24,2022,Челябинская область,"764064,2",0,"12,1","11,6","300892,4",109287,326358,300420,"-25,465.60",-3,2022,"61,7","62,24"
32,2022,Чеченская Республика,"186931,2",15,2,"0,1","149892,9",78427,"155934,3",-16894,"-6,041.40",1,2007,"56,5","26,81"
49,2022,Чувашская Республика,"373871,8",9,"13,8","5,1","94209,1",79570,"90479,7",36591,"3,729.40",-1,2013,"58,2","36,38"
68,2022,Чукотский автономный округ,3112026,-2,"7,5","0,4","53306,9",1697545,"58328,8",18979,"-5,021.90",1,2024,"74,8","26,21"
70,2022,Ямало-Ненецкий автономный округ,11306298,-2,"4,7","0,1","392944,3",2764034,"349060,9",2166944,"43,883.40",1,2024,"73,1","68,71"
66,2022,Ярославская область,"637585,2",3,"10,6","5,2","120785,6",91347,122380,65841,"-1,594.40",,2019,"58,9","60,31"
